"The Scarlet Pimpernel",,,,,343,,,"English",,823,,,,"Baroness Orczy","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Scarlet-Pimpernel.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Strange Case of Dr Jekyll and Mr Hyde",,,,,96,,,"English",,823,,,,"Robert Louis Stevenson","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Strange-Case-of-Dr-Jekyll.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Tales of Mother Goose ",,,,,67,,,"English",,823,,,,"Charles Perrault","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Tales-of-Mother-Goose-by-Charles-Perrault.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Thirty Nine Steps ",,,,,146,,,"English",,823,,,,"John Buchan","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Thirty-Nine-Steps.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Three Musketeers",,,,,945,,,"English",,823,,,,"Alexandre Dumas","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Three-Musketeers.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Time Machine ",,,,,120,,,"English",,823,,,,"H. G. Wells","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Time-Machine.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"The Trial ",,,,,271,,,"English",,823,,,,"Franz Kafka","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/The-Trial.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Treasure Island",,,,,266,,,"English",,823,,,,"Robert Louis Stevenson","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Treasure-Island.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Ulysses",,,,,1047,,,"English",,823,,,,"James Joyce","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Ulysses.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Utopia ",,,,,148,,,"English",,823,,,,"Thomas More","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Utopia.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Vanity Fair ",,,,,1100,,,"English",,823,,,,"William Makepeace Thackeray","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Vanity-Fair.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Within A Budding Grove",,,,,783,,,"English",,823,,,,"Marcel Proust","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Within-a-Budding-Grove.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Women In Love ",,,,,717,,,"English",,823,,,,"D. H. Lawrence","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Women-In-Love.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Wuthering Heights",,,,,428,,,"English",,823,,,,"Emily Brontë","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Wuthering-Heights.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Mathematics - part 1",,,,,,,,"English",,519,,,,"M. P. Keshari","Mathematics",,,,,"http://www.cbseguess.com/ebooks/x/maths/part1/",,,,,"Mathematics, Class X",,,,,,,,,,"10",,,,,,,,,,,,,,,
"Mathematics - part 2",,,,,,,,"English",,519,,,,"M. P. Keshari","Mathematics",,,,,"http://www.cbseguess.com/ebooks/x/maths/part2/",,,,,"Mathematics, Class X",,,,,,,,,,"10",,,,,,,,,,,,,,,
"Science - Term 1",,,,2012,,,,"English",,823,,,,"Kritika Bhola","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3667",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Science - Term 1",,,,2012,,,,"English",,823,,,,"Sunil D Chauhan","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3626",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Science - Term 1",,,,2012,,,,"English",,823,,,,"Anurag Tyagi","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3619",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Mathematics - Term 1",,,,2012,,,,"English",,823,,,,"Sujeet Gaud","Mathematics",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3668",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Mathematics - Term 1",,,,2012,,,,"English",,823,,,,"Sujeet Gaud","Mathematics",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3653",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Mathematics - Term 1",,,,2012,,,,"English",,823,,,,"Manish Bhadoria","Mathematics",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3650",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Mathematics - Term 1",,,,2012,,,,"English",,823,,,,"Siddharth Gupta","Mathematics",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3641",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Mathematics - Term 1",,,,2012,,,,"English",,823,,,,"Sujeet Gaud","Mathematics",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3639",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"English Sample Paper - IIst Term",,,,2011,,,,"English",,823,,,,"Vishal Chaudhary","English",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3452",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"English Sample Paper - IIst Term",,,,2011,,,,"English",,823,,,,"Dolly Dhawan","English",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3316",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"English Sample Paper - IIst Term",,,,2011,,,,"English",,823,,,,"Dolly Dhawan","English",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3315",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"English Sample Paper - Ist Term",,,,2011,,,,"English",,823,,,,"Akhilesh","English",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=2998",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Science Sample Paper - IInd Term",,,,2011,,,,"English",,823,,,,"Sanjeev","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3502",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Science Sample Paper - IInd Term",,,,2011,,,,"English",,823,,,,"Neel","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3490",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Science Sample Paper - IInd Term",,,,2011,,,,"English",,823,,,,"Nitin & Sachin Jain","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3465",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Science Sample Paper - IInd Term",,,,2011,,,,"English",,823,,,,"Vishal Mishra","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3437",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Science Sample Paper - IInd Term",,,,2011,,,,"English",,823,,,,"Pradeep Sahajwani","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3433",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Science Sample Paper - IInd Term",,,,2011,,,,"English",,823,,,,"Anupama","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3423",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Science Sample Paper - IInd Term",,,,2011,,,,"English",,823,,,,"Anupama","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3425",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Biology Sample Paper",,,,2011,,,,"English",,823,,,,"Anupama","Biology",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3329",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Science Sample Paper - IInd Term",,,,2011,,,,"English",,823,,,,"Sanjeev","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3194",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Science Sample Paper - IInd Term",,,,2011,,,,"English",,823,,,,"Shekhar Saini","Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3192",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Social Science Sample Paper - Ist Term",,,,2011,,,,"English",,823,,,,"Moumita ","Social Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=3002",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Social Science Sample Paper - Ist Term",,,,2011,,,,"English",,823,,,,"Rohit","Social Science",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=2996",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
"Sanskrit Sample Paper - Ist Term",,,,2011,,,,"Sanskrit",,823,,,,"Harekrushna Behera","Sanskrit",,,,,"http://www.cbseguess.com/papers/download_papers.php?paper_id=2965",,,,,"Sample Question Paper",,,,,,,,,,"9",,,,,,,,,,,,,,,
