"Title","edition","isbn_issn","publisher_id","publish_year","collation","series_title","call_number","language_id","publish_place_id","classification","notes","image ","file_att","authors","subjects","items","specific_detail","copies","price","url","supplier_id","subtitle","volumeno","serialno","keywords","bookreview","standards","frequency_id","Editor(s)","Producer","Director","Guide(s)","Publication","Publication Date","Academic Year","Abstract","Duration","Company","KeyActor/Actor","Country","State","City","Age Groups","Awards","College/Inst/Dept","University","Qualification","Journal/Serials","Index","Language 2"
"THE THREE MUSKETEERS",,,"MAPLE PRESS CLASSICS",2012,,,,"ENGLISH","NOIDA","824.1",,,,"DUMAS, A. AND PERE.","GEN,TITLE,","LJIT00076",,,"225",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"SELECTED GHOST STORIES",,,"MAPLE PRESS CLASSICS",2012,,,,"ENGLISH","NOIDA","841.5",,,,"WOOLF, V.","GEN,TITLE,","LJIT00077",,,"225",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"SELECTED SHORT STORIES OF THE WORLD",,,"MAPLE PRESS CLASSICS",2011,,,,"ENGLISH","NOIDA","808.82",,,,"MAPLE PRESS CLASSICS","GEN,","LJIT00078",,,"225",,"UNIQUE BOOK STORE",,,,"GEN,",,,,,,,,,,,,,,,,,,,,,,,,,
"IVANHOE",,,"MAPLE PRESS CLASSICS",2010,,,,"ENGLISH","NOIDA","823.21",,,,"SCOTT, W.","GEN,","LJIT00079",,,"195",,"UNIQUE BOOK STORE",,,,"GEN,",,,,,,,,,,,,,,,,,,,,,,,,,
"SUPER EXPERT SCIENCE QUIZ",,,"RUPA AND COMPANY",2011,,,,"ENGLISH","NEW DELHI","793.8",,,,"SALWI, D, M.","GEN,TITLE,","LJIT00080",,,"80",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"YOU ARE BORN AN ORIGINAL DON’T DIE A COPY: BEING DIFERENT IS YOUR GREATEST ASSET DON’T BE AFRAID TO BE YOU",,,"ORIENT PAPERBACK",2012,,,,"ENGLISH","NEW DELHI","248.4",,,,"MASON, J.","GEN,TITLE,","LJIT00081",,,"140",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"HOW TO IMPROVE YOUR CONFIDENCE: THEY CONQUER WHO BELIEVE THEY CAN",,,"ORIENT PAPERBACK",2012,,,,"ENGLISH","NEW DELHI","158.42",,,,"HAMBLY, K.","GEN,TITLE,","LJIT00082",,,"95",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"ILLUSTRATED WORLD QUIZ BOOK",,,"MANNU GRAPHIC",2012,,,,"ENGLISH","NEW DELHI","794.8",,,,"MANNU GRAPHIC","GEN,TITLE,","LJIT00083",,,"110",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"THE MOONSTONE: COMPLETE AND UNABRIDGED",,,"MAPLE PRESS CLASSICS",2010,,,,"ENGLISH","NOIDA","812.5823",,,,"COLLINS, W.","GEN,TITLE,","LJIT00084",,,"195",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"SOCIAL MARKETING: INFLUENCING BEHAVIORS FOR GOOD",,,"SAGE PUBLICATION",2012,,,,"ENGLISH","NEW DELHI","658.81",,,,"LEE, N, R. AND KOTLER, P.","MANAG,TITLE,","LJIT00085",,,"550",,"UNIQUE BOOK STORE",,,,"MANAG,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"SAYINGS AND TALES OF ZEN BUDDHISM: REFLECTIONS FOR EVERY DAY",,,"ARCTURUS PUBLISHING LIMITED",2006,,,,"ENGLISH","LONDON","294.3927",,,,"WRAY, W.","GEN,TITLE,","LJIT00086",,,"693",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"THE MILL ON THE FLOSS",,,"MAPLE PRESS CLASSICS",2011,,,,"ENGLISH","NOIDA","823.1",,,,"ELIOT, G.","GEN,","LJIT00087",,,"145",,"UNIQUE BOOK STORE",,,,"GEN,",,,,,,,,,,,,,,,,,,,,,,,,,
"RESEARCH METHODOLOGY: CONCEPTS AND CASES",,,"VIKAS PUBLISHING HOUSE PVT LTD",2011,,,,"ENGLISH","NOIDA","001.42",,,,"CHAWLA, D. AND SONDHI, N.","OT,TITLE,","LJIT00088",,,450,,"UNIQUE BOOK STORE",,,,"OT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"OPERATIONS RESEARCH",,,"VIKAS PUBLISHING HOUSE PVT LTD",2013,,,,"ENGLISH","NOIDA","658.4034",,,,"KALAVATHY, S.","MANAG,","LJIT00089",,,340,,"UNIQUE BOOK STORE",,,,"MANAG,",,,,,,,,,,,,,,,,,,,,,,,,,
"OPERATIONS RESEARCH",,,"VIKAS PUBLISHING HOUSE PVT LTD",2013,,,,"ENGLISH","NOIDA","658.4034",,,,"KALAVATHY, S.","MANAG,","LJIT00090",,,340,,"UNIQUE BOOK STORE",,,,"MANAG,",,,,,,,,,,,,,,,,,,,,,,,,,
"OPERATIONS RESEARCH",,,"VIKAS PUBLISHING HOUSE PVT LTD",2013,,,,"ENGLISH","NOIDA","658.4034",,,,"KALAVATHY, S.","MANAG,","LJIT00091",,,340,,"UNIQUE BOOK STORE",,,,"MANAG,",,,,,,,,,,,,,,,,,,,,,,,,,
