"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"MEASURING",,,"MAC GRAW HILL COMPANIES",,,1526,,,,,,,"JILL OSOFSKY",,"E2/1526",,0,,,,,,,,
"YU-GI-OH! THE MOVIE",,,"SCHOLASTIC",,,1527,,,,,,,"KAZUKI TAKAHASHI",,"E2/1527",,0,,,,,,,,
"DISNEY MAGIC MOMENTS",,,"SCHOLASTIC",,,1528,,,,,,,,,"E2/1528",,0,,,,,,,,
"I CAN WRITE",,,"BARONET BOOKS",,,1530,,,,,,,,,"E2/1530",,0,"$4.95 ",,,,,,,
"HUG",,,"SCHOLASTIC",,,1531,,,,,,,"JEZ ALBOROUGH",,"E2/1531",,0,,,,,,,,
"THE WONDERFUL WIZARD OF OZ",,,"MODERN PUBLISHING",,,1533,,,,,,,,,"E2/1533",,0,,,,,,,,
"PIZZA CAT",,,"PLAY MORE INC.",,,1534,,,,,,,,,"E2/1534",,0,"$2.95 ",,,,,,,
"PROFESSOR NOODLES CIRCUS SCHOOL",,,"PLAY MORE INC.",,,1535,,,,,,,,,"E2/1535",,0,"$2.95 ",,,,,,,
"MOTHER GOOSE",,,"RANDOM HOUSE",,,1536,,,,,,,"LULU DELACRE",,"E2/1536",,0,,,,,,,,
"SPLISH- SPLASHY DAY ",,,"WESTERN PUBLISHING COMPANY",,,1537,,,,,,,"LIZA ALEXANDER",,"E2/1537",,0,,,,,,,,
"THE BIKE TRIP",,,"HOUGHTON MIFFLIN COMPANY",,,1538,,,,,,,"WILL GRANT",,"E2/1538",,0,"RS 30",,,,,,,
"WHAT IS A BIRD?",,,"WESTERN PUBLISHING COMPANY",,,1539,,,,,,,"JENIFER W. DAY",,"E2/1539",,0,,,,,,,,
