"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency",,,,,,
"KNOW ABOUT BIRDS","2002",,"GOODWILLS","2003","SCIENCE","175","ENGLISH MEDIUM","DELHI","EFD 1",,,,"KIRAN GUPTA","SCIENCE","175",,,"$60.00",,,,,,,,,,,,,
"KNOW ABOUT FISHES","2002",,"GOODWILLS PUBLISHING HOUSE","2003","SCIENCE","176","ENGLISH MEDIUM","NEW DELHI","EFD 3",,,,"KIRAN GUPTA","SCIENCE","176",,,"$60.00",,,,,,,,,,,,,
"PREHISTORIC ANIMALS AND REPTILES","2002",,"MACAN PUBLISHING","2003","SCIENCE","177","ENGLISH MEDIUM","CHENNAI","EFD 33",,,,,"SCIENCE","177",,,"$60.00",,,,,,,,,,,,,
"KNOW ABOUT REPTILES ANDAMPHIBIANS","2002",,"GOODWILLS","2003","SCIENCE","178","ENGLISH MEDIUM","DELHI","EFD 2",,,,"KIRAN GUPTA","SCIENCE","178",,,"$60.00",,,,,,,,,,,,,
"ALL YOU WANT TO KNOW ABOUT ANIMALS","2002",,"GOODWILLS","2003","SCIENCE","179","ENGLISH MEDIUM","CHENNAI","EFD 32",,,,"KIRAN GUPTA","SCIENCE","179",,,"$60.00",,,,,,,,,,,,,
"SEA CREATURES AND FISHES","2002",,"MACAN PUBLISHING","2003","SCIENCE","180","ENGLISH MEDIUM",,"EFD 32",,,,,"SCIENCE","180",,,"$60.00",,,,,,,,,,,,,
"ALICE IN WONDERLAND","2002",,"LEARNERS PUBLISHING","2003","STORY BOOK","189","ENGLISH MEDIUM","NEW DELHI","EEB 60",,,,"JANET RIECHEEKY","STORY BOOK","189",,,"$25.00",,,,,,,,,,,,,
"PINOCCHIO",,,"LEARNERS PUBLISHING","2003","CHILDREN LITERATURE","195","ENGLISH MEDIUM",,"EEB 58",,,,"JANE BELK","CHILDREN LITERATURE","195",,,"$25.00",,,,,,,,,,,,,
"ANIMAL KINGDOM","2002",,"DREAMLAND PUBLICATIONS","2003","SCIENCE","198","ENGLISH MEDIUM","DELHI","EFD 13",,,,"T.R. BHANOT","SCIENCE","198",,,"$60.00",,,,,,,,,,,,,
"CHILDRENS PICTURE DICTIONARY","2002",,"ARORA BOOK COMPANY","2003","ACADEMIC","209","ENGLISH MEDIUM",,"EH 4",,,,"DHARAM DEV ARORA","ACADEMIC","209",,,"$80.00",,,,,,,,,,,,,
