_neo4jInternalId,chapter_id,lessonId,lesson_title,standard_id,sub_institute_id,subject_id,teacher_id
374868,5629,194,,39,1,4470,
374869,5628,195,,39,1,4470,
374870,5627,196,,39,1,4470,
374871,5626,197,,39,1,4470,
374872,5625,198,,39,1,4470,
374873,5624,199,,39,1,4470,
374874,5623,200,,39,1,4470,
374875,5622,201,,39,1,4470,
374876,5621,202,,39,1,4470,
374877,5620,203,,39,1,4470,
374878,5619,204,,39,1,4470,
374879,43,205,,39,1,3976,
374880,4646,206,,39,1,3976,
374881,232,207,,39,1,3976,
374882,46,208,,39,1,3976,
374883,47,209,,39,1,3976,
374884,4624,210,,39,1,3976,
374885,4650,211,,39,1,3976,
374886,4651,212,,39,1,3976,
374887,649,213,,39,1,3976,
374888,4644,214,,39,1,3976,
374889,53,215,,39,1,3976,
374890,54,216,,39,1,3976,
374891,4635,217,,39,1,3976,
374892,140,218,,39,1,3976,
374893,5451,229,,40,1,4435,
374894,5449,230,,40,1,4435,
374895,5448,231,,40,1,4435,
374896,5447,232,,40,1,4435,
374897,5446,233,,40,1,4435,
374898,5445,234,,40,1,4435,
374899,5444,235,,40,1,4435,
374900,5443,236,,40,1,4435,
374901,5442,237,,40,1,4435,
374902,5450,238,,40,1,4435,
374903,146,239,,40,1,3978,
374904,147,240,,40,1,3978,
374905,148,241,,40,1,3978,
374906,149,242,,40,1,3978,
374907,150,243,,40,1,3978,
374908,151,244,,40,1,3978,
374909,152,245,,40,1,3978,
374910,153,246,,40,1,3978,
374911,154,247,,40,1,3978,
374912,155,248,,40,1,3978,
374913,3602,249,,40,1,3978,
374914,3603,250,,40,1,3978,
374915,3604,251,,40,1,3978,
374916,3605,252,,40,1,3978,
374917,3606,253,,40,1,3978,
374918,3607,254,,40,1,3978,
374919,3608,255,,40,1,3978,
374920,3609,256,,40,1,3978,
374921,3610,257,,40,1,3978,
374922,649,258,,40,1,3976,
374923,4627,259,,40,1,3976,
374924,939,260,,40,1,3976,
374925,4630,261,,40,1,3976,
374926,4632,262,,40,1,3976,
374927,4633,263,,40,1,3976,
374928,4635,264,,40,1,3976,
374929,145,265,,40,1,3976,
374930,5454,266,,40,1,4469,
374931,5455,267,,40,1,4469,
374932,5452,268,,40,1,4469,
374933,5461,269,,40,1,4469,
374934,5456,270,,40,1,4469,
374935,5460,271,,40,1,4469,
374936,5458,272,,40,1,4469,
374937,4667,273,,40,1,3975,
374938,114,274,,40,1,3975,
374939,4657,275,,40,1,3975,
374940,4668,276,,40,1,3975,
374941,117,277,,40,1,3975,
374942,118,278,,40,1,3975,
374943,119,279,,40,1,3975,
374944,120,280,,40,1,3975,
374945,121,281,,40,1,3975,
374946,122,282,,40,1,3975,
374947,123,283,,40,1,3975,
374948,124,284,,40,1,3975,
374949,125,285,,40,1,3975,
374950,126,286,,40,1,3975,
374951,127,287,,40,1,3975,
374952,128,288,,40,1,3975,
374953,129,289,,40,1,3975,
374954,130,290,,40,1,3975,
374955,967,291,,40,1,4064,
374956,969,292,,40,1,4064,
374957,970,293,,40,1,4064,
374958,972,294,,40,1,4064,
374959,973,295,,40,1,4064,
374960,974,296,,40,1,4064,
374961,975,297,,40,1,4064,
374962,5462,298,,40,1,4470,
374963,5470,299,,40,1,4470,
374964,5469,300,,40,1,4470,
374965,5468,301,,40,1,4470,
374966,5467,302,,40,1,4470,
374967,5464,303,,40,1,4470,
374968,5466,304,,40,1,4470,
374969,5463,305,,40,1,4470,
374970,5465,306,,40,1,4470,
374971,266,307,,41,1,3978,
374972,267,308,,41,1,3978,
374973,268,309,,41,1,3978,
374974,269,310,,41,1,3978,
374975,270,311,,41,1,3978,
374976,271,312,,41,1,3978,
374977,272,313,,41,1,3978,
374978,273,314,,41,1,3978,
374979,274,315,,41,1,3978,
374980,275,316,,41,1,3978,
374981,3611,317,,41,1,3978,
374982,3612,318,,41,1,3978,
374983,3613,319,,41,1,3978,
374984,3614,320,,41,1,3978,
374985,3615,321,,41,1,3978,
374986,3616,322,,41,1,3978,
374987,3617,323,,41,1,3978,
374988,3618,324,,41,1,3978,
374989,5653,325,,41,1,4435,
374990,5554,326,,41,1,4435,
374991,5553,327,,41,1,4435,
374992,5552,328,,41,1,4435,
374993,5549,329,,41,1,4435,
374994,5548,330,,41,1,4435,
374995,5547,331,,41,1,4435,
374996,5546,332,,41,1,4435,
374997,5551,333,,41,1,4435,
374998,5550,334,,41,1,4435,
374999,4631,335,,41,1,3976,
375000,4637,336,,41,1,3976,
375001,140,337,,41,1,3976,
375002,649,338,,41,1,3976,
375003,4641,339,,41,1,3976,
375004,4642,340,,41,1,3976,
375005,4630,341,,41,1,3976,
375006,4634,342,,41,1,3976,
375007,229,343,,41,1,3976,
